country_code,month,day,relative_active_users
country87,5,27,9.29895E-06
country56,1,3,1.8118E-05
country67,5,28,9.73895E-06
country172,3,17,2.147E-05
country177,1,20,0.002677617
country134,2,4,7.54433E-06
country126,5,26,0.000785386
country140,5,28,1.94779E-06
country152,2,2,3.99165E-05
country113,3,1,0.001995236
country125,6,20,2.14092E-05
country212,5,15,1.37821E-05
country152,3,28,4.05568E-05
country1,4,23,2.98934E-06
country118,1,19,2.14813E-06
country131,4,25,1.30116E-05
country110,6,3,0.000141534
country223,1,25,0.002487097
country22,6,20,0.000127653
country159,5,3,0.094649669
country1,6,17,3.5142E-06
country48,2,3,4.25809E-05
country130,4,26,6.51883E-05
country53,4,28,0.000175833
country20,3,4,0.05638
country129,4,27,2.0902E-05
country124,2,18,0.005330833
country22,1,6,7.59353E-05
country87,2,14,2.09732E-05
country64,4,15,4.31085E-05
country209,6,5,0.136621708
country208,3,3,0.000339548
country61,4,16,0.010333024
country46,2,4,0.000318519
country83,5,26,0.001593872
country153,5,30,0.003252887
country225,6,4,0.000307578
country68,4,19,7.71395E-05
country2,1,16,0.364084295
country109,2,10,0.066836405
country169,3,13,0.003079361
country13,3,15,1.94779E-05
country11,1,11,0.047485475
country135,2,23,4.59825E-05
country160,4,8,0.000498066
country167,2,29,4.0686E-05
country17,4,4,0.000192029
country85,4,18,0.005133536
country134,3,2,2.53097E-05
country110,5,17,0.000125274
country74,5,14,0.001439417
country158,4,1,4.39638E-06
country208,6,27,0.000216209
country218,5,19,9.37125E-05
country79,6,2,0.000322231
country122,4,7,5.45381E-05
country108,2,4,0.010355293
country141,1,16,0.118104354
country7,4,19,0.017573485
country169,4,11,0.002364558
country130,3,4,5.87554E-05
country22,5,27,7.94362E-05
country5,3,2,0.000969884
country207,2,6,0.074219432
country89,1,22,5.84337E-06
country111,4,18,0.000482442
country205,3,2,2.24975E-05
country24,4,7,3.43075E-06
country218,2,10,6.00548E-05
country36,3,29,9.73895E-06
country142,1,24,0.00139267
country181,3,27,0.000880944
country94,2,8,3.27543E-05
country126,3,1,0.000603725
country176,6,26,0.001368198
country45,3,11,0.010798546
country42,5,15,0.000486968
country211,5,14,0.006420975
country111,2,24,0.000534464
country87,4,8,1.7709E-05
country35,2,4,0.000789254
country97,6,28,5.08469E-05
country134,4,27,1.0508E-05
country90,5,14,0.000300852
country138,4,2,0.000131933
country177,4,23,0.00355356
country36,2,22,1.16867E-05
country194,3,6,0.008515198
country194,1,11,0.006244712
country108,2,14,0.011222736
country111,3,17,0.000545126
country171,6,23,8.76023E-06
country108,4,18,0.008829414
country61,5,20,0.011470533
country5,2,19,0.000997005
country133,3,13,7.92424E-06
country211,1,3,0.0037929
country60,4,27,0.003506161
country133,1,13,1.60841E-05
country96,4,9,3.89558E-06
country206,5,8,0.033465977
country220,2,17,5.84337E-06
country148,3,7,2.7268E-05
country37,6,9,0.00016122
country71,4,28,0.007649851
country38,1,28,1.94779E-06
country40,3,5,5.69213E-06
country179,4,28,0.000154757
country182,3,16,0.000236304
country46,3,25,0.000431568
country26,5,15,2.98613E-05
country58,5,26,5.06425E-05
country79,3,28,0.000224622
country137,4,24,0.004173953
country133,1,7,1.08523E-05
country104,2,26,0.004565762
country203,6,16,8.64444E-06
country122,2,23,4.6747E-05
country121,3,24,1.73783E-06
country63,1,10,0.000179789
country98,3,21,7.64237E-05
country63,6,30,7.93136E-05
country220,6,28,7.79116E-06
country134,4,14,1.66276E-05
country63,6,16,8.55148E-05
country57,6,26,0.003210076
country141,1,9,0.119028302
country61,6,29,0.010056438
country19,3,5,1.92762E-05
country205,5,9,4.40944E-05
country79,1,15,0.00014919
country142,2,23,0.00126022
country127,4,18,0.003095092
country70,5,1,3.89558E-06
country74,6,22,0.001271907
country38,3,25,1.94779E-06
country89,5,6,1.94779E-06
country186,4,21,1.69152E-06
country155,4,24,6.74578E-06
country131,6,21,8.73123E-06
country25,1,25,7.27809E-06
country118,4,28,5.23594E-06
country14,5,15,0.000739819
country103,6,9,0.001065547
country46,6,5,0.000620391
country156,5,27,1.97415E-05
country136,6,7,0.000341049
country162,3,9,5.06425E-05
country166,1,8,0.000224574
country147,1,16,0.000223996
country69,2,1,5.84573E-05
country208,5,5,0.000244215
country194,1,19,0.006627377
country77,1,4,0.000407601
country9,5,8,0.00127775
country185,4,14,0.005138269
country128,4,20,5.84337E-06
country103,4,30,0.001048753
country63,6,8,0.000100264
country21,2,21,4.22408E-06
country139,3,30,0.000576546
country7,1,5,0.012265505
country203,1,12,1.48281E-05
country126,2,2,0.000583982
country19,1,16,2.65126E-05
country227,3,11,0.00023709
country176,5,10,0.001271125
country129,1,26,2.61406E-05
country83,5,6,0.001557132
country180,2,10,0.000804437
country173,2,26,0.00020665
country34,1,17,1.85832E-06
country69,5,14,0.000133704
country85,2,26,0.005847824
country44,5,15,0.000700032
country143,5,31,4.01184E-06
country148,6,18,2.62071E-05
country30,6,18,0.000400969
country172,1,14,2.2222E-06
country21,6,18,1.18702E-05
country4,2,29,1.94779E-05
country168,4,17,0.002865744
country63,4,25,9.17933E-05
country102,6,19,0.000308935
country14,6,24,0.00066545
country47,1,26,0.000119708
country221,3,17,1.92505E-05
country31,6,11,0.000188287
country113,5,11,0.001624844
country38,6,17,3.89558E-06
country90,5,16,0.000222714
country167,2,15,3.9015E-05
country96,6,15,7.79116E-06
country204,1,18,5.56938E-06
country218,6,12,0.000138478
country103,3,8,0.001040024
country2,1,14,0.336503591
country64,6,6,4.9662E-05
country90,3,28,0.00034964
country103,1,11,0.000835056
country140,4,26,3.89558E-06
country155,4,17,3.3966E-06
country182,6,20,0.000156614
country103,2,15,0.000834925
country90,1,19,0.000246662
country137,2,20,0.004462548
country24,3,1,1.77829E-06
country116,1,15,5.58612E-06
country205,1,20,2.37809E-05
country176,1,10,0.001725977
country186,4,22,1.68982E-06
country201,4,28,1.16867E-05
country222,3,17,9.73895E-06
country130,2,3,7.51082E-05
country85,1,27,0.005239491
country115,2,11,1.2047E-05
country147,3,30,0.000179197
country4,1,16,2.14257E-05
country5,2,15,0.000982691
country207,4,17,0.075944994
country37,2,2,0.000186725
country230,6,9,1.94779E-06
country173,2,8,0.000181476
country57,5,14,0.003340926
country127,3,31,0.003282865
country24,6,7,1.61543E-06
country219,5,4,0.000150269
country164,6,13,0.002956785
country115,1,18,1.34939E-05
country185,3,3,0.006225136
country174,2,5,4.15707E-06
country73,5,3,3.63142E-05
country119,2,12,0.000177249
country89,4,23,1.94779E-06
country53,1,5,0.000143351
country147,3,1,0.000186988
country60,4,16,0.003603591
country163,1,27,8.57027E-05
country207,4,19,0.068913625
country154,1,4,2.15662E-06
country12,6,1,0.000373102
country216,6,21,6.37184E-06
country192,1,1,1.83058E-06
country210,4,17,2.64248E-05
country101,2,26,0.000565599
country95,4,27,1.36345E-05
country200,5,1,9.18553E-06
country39,6,14,0.000659308
country126,3,24,0.000803001
country167,2,10,3.8435E-05
country217,1,23,0.007160865
country6,3,7,0.004161249
country71,3,21,0.008523119
country215,5,21,9.8679E-05
country27,2,13,2.42387E-06
country168,6,4,0.00351627
country134,3,31,1.57867E-05
country64,2,2,3.78493E-05
country110,6,8,0.000157353
country65,4,29,7.86962E-06
country171,1,6,8.9953E-06
country38,4,21,1.94779E-06
country80,6,22,2.38356E-06
country226,5,20,0.002814946
country170,3,10,0.000386325
country63,3,8,0.000124862
country170,5,27,0.000539504
country164,6,19,0.00301956
country65,1,19,6.44439E-06
country130,2,13,0.000101414
country29,5,16,4.59863E-06
country113,2,25,0.001975048
country19,4,18,2.45945E-05
country203,4,14,5.09151E-06
country6,1,27,0.003922385
country132,6,26,4.43289E-06
country192,3,12,1.58802E-06
country49,1,24,5.06978E-05
country23,5,23,0.011431431
country58,5,7,5.84337E-05
country14,5,2,0.000734448
country116,6,15,3.2051E-06
country147,5,15,0.000183092
country2,6,2,0.575907957
country220,4,1,9.73895E-06
country125,2,27,1.06237E-05
country136,5,29,0.000289687
country25,3,21,1.51689E-05
country98,6,20,8.09174E-05
country222,1,10,1.36345E-05
country91,4,6,1.66488E-05
country96,3,6,5.84337E-06
country158,4,21,2.24258E-06
country126,4,27,0.000862232
country218,2,28,5.83112E-05
country194,4,23,0.010155369
country90,3,26,0.000313919
country79,5,19,0.000260045
country173,3,29,0.00026707
country8,3,2,5.85211E-05
country91,3,16,2.04797E-05
country201,5,22,9.73895E-06
country8,1,27,6.54822E-05
country203,4,20,5.15292E-06
country191,1,30,1.86136E-05
country33,6,18,0.005363653
country218,3,4,5.67875E-05
country61,4,2,0.011139409
country65,3,17,4.82412E-06
country148,4,12,2.39273E-05
country223,6,28,0.003671542
country175,1,19,0.000201332
country220,5,7,5.84337E-06
country85,3,21,0.005142667
country30,2,19,0.000443983
country182,4,29,0.000166223
country67,4,21,3.89558E-06
country215,2,26,6.47626E-05
country185,2,16,0.006696501
country113,2,11,0.002059148
country182,3,13,0.000275764
country190,1,12,4.23659E-06
country49,1,18,5.48491E-05
country63,5,2,0.000103447
country40,4,9,3.2598E-06
country167,2,1,4.91042E-05
country58,1,10,6.23293E-05
country151,4,24,2.59713E-05
country145,2,20,0.000326731
country94,6,10,2.09377E-05
country112,3,24,0.000416574
country77,4,6,0.000505684
country96,1,10,7.79116E-06
country77,6,8,0.000660199
country38,4,22,1.94779E-06
country103,3,31,0.001034362
country120,5,14,0.011359509
country71,4,4,0.008195117
country25,6,26,2.65973E-05
country96,1,6,5.84337E-06
country164,3,15,0.002767138
country164,3,6,0.003293184
country220,3,12,3.89558E-06
country40,5,20,3.83949E-06
country194,2,15,0.007099959
country17,1,7,0.000180615
country217,2,24,0.00672227
country81,2,5,2.21791E-06
country170,5,20,0.000453763
country129,2,16,2.04048E-05
country78,3,25,0.000150768
country148,1,23,4.02892E-05
country215,2,8,4.90874E-05
country136,5,24,0.000236177
country8,2,23,7.35721E-05
country173,6,7,0.000330817
country219,1,4,0.000167555
country150,3,2,8.43655E-06
country113,6,29,0.001536015
country211,4,16,0.005649711
country200,3,2,5.13166E-06
country220,3,16,3.89558E-06
country216,4,11,5.12557E-06
country16,5,17,0.005052736
country210,3,14,2.65974E-05
country78,6,10,0.000129533
country177,3,29,0.003458828
country156,4,24,3.11486E-05
country175,5,11,0.000211127
country167,3,3,4.8897E-05
country187,6,22,2.91623E-06
country101,5,19,0.000543035
country223,3,27,0.00343273
country196,1,11,2.29416E-06
country90,5,1,0.000314839
country132,6,30,4.50424E-06
country162,5,8,5.45381E-05
country131,2,10,8.96071E-06
country221,2,9,3.81751E-05
country177,3,3,0.002671554
country138,6,4,0.000243358
country147,1,15,0.000188936
country89,2,29,5.84337E-06
country171,2,8,2.55526E-06
country134,2,14,1.57032E-05
country232,1,30,7.79116E-06
country124,4,5,0.004260932
country81,5,12,2.69223E-06
country120,3,24,0.012290553
country155,1,12,3.73527E-06
country161,3,19,0.003118968
country158,1,21,2.04965E-06
country228,5,20,0.001219316
country82,5,11,2.59279E-05
country101,3,7,0.000507792
country107,1,23,0.002258477
country225,6,22,0.000260407
country183,6,7,0.000356596
country201,3,21,9.73895E-06
country111,3,2,0.000550098
country41,1,22,1.75521E-06
country179,3,18,0.000177659
country129,2,12,1.5744E-05
country104,3,7,0.004553731
country43,1,3,0.008642263
country6,5,2,0.003900409
country156,1,1,1.76351E-05
country136,6,5,0.000349182
country162,6,22,7.4016E-05
country217,2,22,0.006658749
country219,4,12,0.000124598
country122,2,6,5.84337E-05
country14,5,4,0.00073131
country38,5,7,1.94779E-06
country100,4,30,0.000152634
country39,2,20,0.000954719
country51,1,24,0.005653468
country8,3,18,6.76728E-05
country108,4,9,0.010006725
country204,6,28,1.58184E-05
country86,6,1,0.000100296
country65,5,12,1.07689E-05
country228,1,8,0.001437469
country111,6,22,0.000659068
country83,6,4,0.001818428
country216,4,25,6.73904E-06
country118,3,2,4.68169E-06
country32,5,7,0.00440675
country68,2,6,9.11162E-05
country130,3,20,6.30906E-05
country206,4,14,0.033385001
country56,2,27,1.48732E-05
country64,4,29,4.04716E-05
country209,3,11,0.105184736
country210,3,25,4.12326E-05
country153,4,10,0.002869418
country218,2,3,6.8218E-05
country205,2,6,4.0559E-05
country183,2,13,0.000320018
country133,6,2,8.11805E-06
country46,4,16,0.000357132
country221,3,8,2.64881E-05
country61,4,8,0.010498586
country125,2,16,1.26091E-05
country142,1,4,0.001131666
country91,3,31,2.29313E-05
country124,1,28,0.00423654
country68,6,22,0.000104984
country113,5,15,0.001681107
country198,4,6,2.50539E-05
country223,2,21,0.003194491
country190,2,22,9.17815E-06
country169,2,14,0.003307104
country162,5,22,6.81726E-05
country87,5,16,6.89795E-06
country96,3,22,3.89558E-06
country106,6,28,4.42916E-05
country142,3,20,0.001519276
country64,5,9,2.97521E-05
country9,1,14,0.001556284
country232,1,3,5.84337E-06
country135,1,27,7.42132E-05
country24,4,29,1.67803E-06
country56,1,21,1.63972E-05
country189,2,22,7.79116E-06
country117,1,8,2.26685E-06
country61,1,14,0.008669612
country156,5,20,2.30369E-05
country134,1,28,1.22763E-05
country208,6,21,0.000256594
country8,6,20,0.000110375
country2,4,16,0.541591193
country179,6,21,0.000184941
country113,2,12,0.002232893
country170,5,5,0.000427628
country125,5,11,1.37271E-05
country171,5,9,7.34907E-06
country218,6,7,0.000129599
country215,1,29,4.38296E-05
country67,3,28,9.73895E-06
country57,6,27,0.002913109
country126,6,9,0.001022433
country151,5,29,2.50673E-05
country127,5,11,0.003173878
country152,1,27,4.64641E-05
country127,5,29,0.00395239
country190,2,11,2.24466E-06
country9,3,17,0.00124269
country129,1,1,2.4867E-05
country111,6,8,0.00055865
country230,2,12,1.94779E-06
country74,6,10,0.001182308
country217,3,8,0.007427049
country175,3,30,0.000188686
country189,3,15,9.73895E-06
country125,3,8,1.71859E-05
country216,6,19,1.59615E-06
country13,6,26,2.92168E-05
country124,6,22,0.004544948
country198,4,11,1.77138E-05
country149,4,15,6.8068E-05
country79,3,18,0.000203841
country189,3,7,1.16867E-05
country173,1,17,0.000190592
country170,2,22,0.00044075
country94,4,21,1.86067E-05
country191,5,25,9.28038E-06
country197,2,8,7.87988E-05
country153,1,30,0.002732283
country144,4,28,0.000929816
country96,3,25,3.89558E-06
country108,4,6,0.009610037
country30,6,2,0.000317957
country190,2,25,6.925E-06
country167,3,25,6.32233E-05
country106,6,4,4.69883E-05
country45,1,5,0.008184612
country85,6,26,0.005511324
country112,4,26,0.00041022
country33,1,6,0.003872146
country45,6,5,0.010995273
country43,5,24,0.0079013
country91,5,6,1.85289E-05
country54,5,9,2.20472E-05
country230,5,25,1.94779E-06
country85,2,19,0.0055773
country86,1,14,6.26887E-05
country194,2,24,0.007073688
country135,5,26,4.98349E-05
country96,6,12,7.79116E-06
country40,5,15,3.76361E-06
country33,5,12,0.004189117
country8,6,8,8.50736E-05
country30,6,30,0.000309579
country10,4,30,2.26284E-06
country83,1,22,0.001493119
country121,2,28,1.78363E-06
country68,5,12,8.88438E-05
country147,5,1,0.000171405
country17,4,8,0.000217208
country2,3,14,0.495677069
country118,2,13,9.01458E-06
country124,1,19,0.005103868
country74,6,19,0.001507589
country230,4,12,1.94779E-06
country232,4,23,1.16867E-05
country144,2,8,0.001365006
country209,4,1,0.111399096
country177,6,15,0.003747073
country221,2,2,3.29515E-05
country203,5,23,8.25618E-06
country109,5,6,0.040615368
country171,2,27,2.75661E-06
country83,3,7,0.001607007
country2,4,9,0.579383882
country115,4,28,2.12412E-05
country124,4,10,0.005000724
country190,1,2,2.07639E-06
country113,1,7,0.002224249
country177,2,2,0.002685271
country38,5,17,1.94779E-06
country209,5,9,0.106803145
country112,3,4,0.000431068
country109,1,13,0.064901291
country124,3,8,0.004624826
country116,2,27,1.24979E-05
country156,1,16,2.57446E-05
country208,6,9,0.000270838
country31,5,9,0.000128455
country48,2,22,3.24256E-05
country110,2,25,5.27644E-05
country103,2,18,0.000835392
country58,4,6,5.84337E-05
country33,5,30,0.004415078
country39,3,2,0.000786993
country68,2,21,7.09887E-05
country3,6,23,0.005440106
country33,3,21,0.004862831
country182,6,24,0.000141123
country87,1,11,1.42049E-05
country222,3,16,1.16867E-05
country135,5,4,6.09395E-05
country54,6,29,2.24315E-05
country182,5,12,0.000115479
country57,4,13,0.00297513
country37,2,5,0.000160613
country94,4,30,2.8498E-05
country60,3,7,0.003347982
country36,6,12,5.84337E-06
country64,6,10,2.92933E-05
country86,4,3,5.72877E-05
country186,2,6,3.64665E-06
country156,4,15,2.67106E-05
country101,6,25,0.000852139
country169,3,3,0.002546613
country98,6,2,9.60636E-05
country10,5,10,2.28557E-06
country162,5,16,5.84337E-05
country2,2,1,0.403160419
country149,1,4,0.000144964
country215,1,20,4.52009E-05
country42,2,20,0.000544362
country60,6,13,0.004414933
country197,5,27,7.94362E-05
country222,4,23,9.73895E-06
country129,3,31,2.23244E-05
country53,5,27,0.000209259
country22,3,6,6.23222E-05
country211,4,26,0.00555004
country197,1,20,6.7875E-05
country158,1,13,4.06666E-06
country78,6,11,0.000146165
country204,4,13,1.19358E-05
country111,4,6,0.000506088
country82,3,26,2.78545E-05
country160,6,30,0.000504566
country40,5,1,3.55904E-06
country177,1,11,0.002659496
country5,6,14,0.001253792
